Date_time,used_price,graded_price,prod_name,set_name
2021-01-01 07:00:00,1101,0,Umbreon_GX_#80,pokemon-sun-&-moon
2021-02-01 07:00:00,943,8199,Umbreon_GX_#80,pokemon-sun-&-moon
2021-03-01 07:00:00,1239,9260,Umbreon_GX_#80,pokemon-sun-&-moon
2021-04-01 06:00:00,1225,15907,Umbreon_GX_#80,pokemon-sun-&-moon
2021-05-01 06:00:00,499,15875,Umbreon_GX_#80,pokemon-sun-&-moon
2021-06-01 06:00:00,713,15875,Umbreon_GX_#80,pokemon-sun-&-moon
2021-07-01 06:00:00,600,10375,Umbreon_GX_#80,pokemon-sun-&-moon
2021-08-01 06:00:00,436,9063,Umbreon_GX_#80,pokemon-sun-&-moon
2021-09-01 06:00:00,475,7000,Umbreon_GX_#80,pokemon-sun-&-moon
2021-10-01 06:00:00,540,4740,Umbreon_GX_#80,pokemon-sun-&-moon
2021-11-01 06:00:00,600,4013,Umbreon_GX_#80,pokemon-sun-&-moon
2021-12-01 07:00:00,550,4999,Umbreon_GX_#80,pokemon-sun-&-moon
2022-01-01 07:00:00,409,4650,Umbreon_GX_#80,pokemon-sun-&-moon
2022-02-01 07:00:00,551,3656,Umbreon_GX_#80,pokemon-sun-&-moon
2022-03-01 07:00:00,585,3000,Umbreon_GX_#80,pokemon-sun-&-moon
2022-04-01 06:00:00,679,2999,Umbreon_GX_#80,pokemon-sun-&-moon
2022-05-01 06:00:00,500,2699,Umbreon_GX_#80,pokemon-sun-&-moon
2022-06-01 06:00:00,499,2499,Umbreon_GX_#80,pokemon-sun-&-moon
2022-07-01 06:00:00,518,2308,Umbreon_GX_#80,pokemon-sun-&-moon
2022-08-01 06:00:00,437,2400,Umbreon_GX_#80,pokemon-sun-&-moon
2022-09-01 06:00:00,573,2499,Umbreon_GX_#80,pokemon-sun-&-moon
2022-10-01 06:00:00,624,2400,Umbreon_GX_#80,pokemon-sun-&-moon
2022-11-01 06:00:00,497,2170,Umbreon_GX_#80,pokemon-sun-&-moon
2022-12-01 07:00:00,545,2563,Umbreon_GX_#80,pokemon-sun-&-moon
2023-01-01 07:00:00,710,2258,Umbreon_GX_#80,pokemon-sun-&-moon
2023-02-01 07:00:00,525,2193,Umbreon_GX_#80,pokemon-sun-&-moon
2023-03-01 07:00:00,620,2577,Umbreon_GX_#80,pokemon-sun-&-moon
2023-04-01 06:00:00,659,2361,Umbreon_GX_#80,pokemon-sun-&-moon
2023-05-01 06:00:00,472,2273,Umbreon_GX_#80,pokemon-sun-&-moon
2023-06-01 06:00:00,589,1715,Umbreon_GX_#80,pokemon-sun-&-moon
2023-07-01 06:00:00,500,1999,Umbreon_GX_#80,pokemon-sun-&-moon
2023-08-01 06:00:00,538,2000,Umbreon_GX_#80,pokemon-sun-&-moon
2023-09-01 06:00:00,462,1999,Umbreon_GX_#80,pokemon-sun-&-moon
2023-10-01 06:00:00,327,1776,Umbreon_GX_#80,pokemon-sun-&-moon
2023-11-01 06:00:00,480,1800,Umbreon_GX_#80,pokemon-sun-&-moon
2023-12-01 07:00:00,585,2300,Umbreon_GX_#80,pokemon-sun-&-moon
2024-01-01 07:00:00,599,2175,Umbreon_GX_#80,pokemon-sun-&-moon
2024-02-01 07:00:00,522,2014,Umbreon_GX_#80,pokemon-sun-&-moon
2024-03-01 07:00:00,450,1897,Umbreon_GX_#80,pokemon-sun-&-moon
2024-04-01 06:00:00,358,1969,Umbreon_GX_#80,pokemon-sun-&-moon
2024-05-01 06:00:00,675,1601,Umbreon_GX_#80,pokemon-sun-&-moon
2024-06-01 06:00:00,659,2031,Umbreon_GX_#80,pokemon-sun-&-moon
2024-07-01 06:00:00,550,2157,Umbreon_GX_#80,pokemon-sun-&-moon
2024-08-01 06:00:00,616,2408,Umbreon_GX_#80,pokemon-sun-&-moon
2024-09-01 06:00:00,638,2499,Umbreon_GX_#80,pokemon-sun-&-moon
2024-10-01 06:00:00,556,2096,Umbreon_GX_#80,pokemon-sun-&-moon
2024-11-01 06:00:00,629,2000,Umbreon_GX_#80,pokemon-sun-&-moon
2024-12-01 07:00:00,732,2052,Umbreon_GX_#80,pokemon-sun-&-moon
2025-01-01 07:00:00,782,2813,Umbreon_GX_#80,pokemon-sun-&-moon
2025-02-01 07:00:00,858,2800,Umbreon_GX_#80,pokemon-sun-&-moon
2025-03-01 07:00:00,830,2597,Umbreon_GX_#80,pokemon-sun-&-moon
2025-04-01 06:00:00,978,2551,Umbreon_GX_#80,pokemon-sun-&-moon
2025-05-01 06:00:00,1068,2400,Umbreon_GX_#80,pokemon-sun-&-moon
2025-06-01 06:00:00,974,2931,Umbreon_GX_#80,pokemon-sun-&-moon
2025-07-01 06:00:00,1000,2808,Umbreon_GX_#80,pokemon-sun-&-moon
2025-08-01 06:00:00,986,3049,Umbreon_GX_#80,pokemon-sun-&-moon
2025-09-01 06:00:00,975,3500,Umbreon_GX_#80,pokemon-sun-&-moon
2025-10-01 06:00:00,1225,3400,Umbreon_GX_#80,pokemon-sun-&-moon
2025-11-01 06:00:00,1360,3400,Umbreon_GX_#80,pokemon-sun-&-moon
2021-08-01 06:00:00,3907,0,Umbreon_GX_#154,pokemon-sun-&-moon
2021-09-01 06:00:00,2700,7000,Umbreon_GX_#154,pokemon-sun-&-moon
2021-10-01 06:00:00,2266,6999,Umbreon_GX_#154,pokemon-sun-&-moon
2021-11-01 06:00:00,3011,5980,Umbreon_GX_#154,pokemon-sun-&-moon
2021-12-01 07:00:00,2494,7389,Umbreon_GX_#154,pokemon-sun-&-moon
2022-01-01 07:00:00,2500,6420,Umbreon_GX_#154,pokemon-sun-&-moon
2022-02-01 07:00:00,2999,7800,Umbreon_GX_#154,pokemon-sun-&-moon
2022-03-01 07:00:00,2889,5796,Umbreon_GX_#154,pokemon-sun-&-moon
2022-04-01 06:00:00,2924,5200,Umbreon_GX_#154,pokemon-sun-&-moon
2022-05-01 06:00:00,2995,6050,Umbreon_GX_#154,pokemon-sun-&-moon
2022-06-01 06:00:00,3000,5690,Umbreon_GX_#154,pokemon-sun-&-moon
2022-07-01 06:00:00,2625,5300,Umbreon_GX_#154,pokemon-sun-&-moon
2022-08-01 06:00:00,2500,4999,Umbreon_GX_#154,pokemon-sun-&-moon
2022-09-01 06:00:00,2969,5474,Umbreon_GX_#154,pokemon-sun-&-moon
2022-10-01 06:00:00,2879,4999,Umbreon_GX_#154,pokemon-sun-&-moon
2022-11-01 06:00:00,2600,4547,Umbreon_GX_#154,pokemon-sun-&-moon
2022-12-01 07:00:00,2701,4407,Umbreon_GX_#154,pokemon-sun-&-moon
2023-01-01 07:00:00,2652,4500,Umbreon_GX_#154,pokemon-sun-&-moon
2023-02-01 07:00:00,3542,4995,Umbreon_GX_#154,pokemon-sun-&-moon
2023-03-01 07:00:00,2811,5140,Umbreon_GX_#154,pokemon-sun-&-moon
2023-04-01 06:00:00,2584,4753,Umbreon_GX_#154,pokemon-sun-&-moon
2023-05-01 06:00:00,2725,4666,Umbreon_GX_#154,pokemon-sun-&-moon
2023-06-01 06:00:00,2949,4795,Umbreon_GX_#154,pokemon-sun-&-moon
2023-07-01 06:00:00,3200,5250,Umbreon_GX_#154,pokemon-sun-&-moon
2023-08-01 06:00:00,2500,4843,Umbreon_GX_#154,pokemon-sun-&-moon
2023-09-01 06:00:00,2943,5000,Umbreon_GX_#154,pokemon-sun-&-moon
2023-10-01 06:00:00,2515,5198,Umbreon_GX_#154,pokemon-sun-&-moon
2023-11-01 06:00:00,2399,5159,Umbreon_GX_#154,pokemon-sun-&-moon
2023-12-01 07:00:00,2431,4999,Umbreon_GX_#154,pokemon-sun-&-moon
2024-01-01 07:00:00,2663,4612,Umbreon_GX_#154,pokemon-sun-&-moon
2024-02-01 07:00:00,2799,4345,Umbreon_GX_#154,pokemon-sun-&-moon
2024-03-01 07:00:00,3087,4200,Umbreon_GX_#154,pokemon-sun-&-moon
2024-04-01 06:00:00,3200,4100,Umbreon_GX_#154,pokemon-sun-&-moon
2024-05-01 06:00:00,4200,4859,Umbreon_GX_#154,pokemon-sun-&-moon
2024-06-01 06:00:00,2908,5744,Umbreon_GX_#154,pokemon-sun-&-moon
2024-07-01 06:00:00,4200,5896,Umbreon_GX_#154,pokemon-sun-&-moon
2024-08-01 06:00:00,3296,6400,Umbreon_GX_#154,pokemon-sun-&-moon
2024-09-01 06:00:00,3147,5100,Umbreon_GX_#154,pokemon-sun-&-moon
2024-10-01 06:00:00,3234,5200,Umbreon_GX_#154,pokemon-sun-&-moon
2024-11-01 06:00:00,3292,5519,Umbreon_GX_#154,pokemon-sun-&-moon
2024-12-01 07:00:00,3500,5400,Umbreon_GX_#154,pokemon-sun-&-moon
2025-01-01 07:00:00,4115,5934,Umbreon_GX_#154,pokemon-sun-&-moon
2025-02-01 07:00:00,4300,6677,Umbreon_GX_#154,pokemon-sun-&-moon
2025-03-01 07:00:00,4050,7550,Umbreon_GX_#154,pokemon-sun-&-moon
2025-04-01 06:00:00,4932,7785,Umbreon_GX_#154,pokemon-sun-&-moon
2025-05-01 06:00:00,5206,8450,Umbreon_GX_#154,pokemon-sun-&-moon
2025-06-01 06:00:00,5957,8082,Umbreon_GX_#154,pokemon-sun-&-moon
2025-07-01 06:00:00,5050,8000,Umbreon_GX_#154,pokemon-sun-&-moon
2025-08-01 06:00:00,5550,7921,Umbreon_GX_#154,pokemon-sun-&-moon
2025-09-01 06:00:00,7163,10853,Umbreon_GX_#154,pokemon-sun-&-moon
2025-10-01 06:00:00,5777,11325,Umbreon_GX_#154,pokemon-sun-&-moon
2025-11-01 06:00:00,6858,12239,Umbreon_GX_#154,pokemon-sun-&-moon
2021-07-01 06:00:00,1250,0,Umbreon_GX_#142,pokemon-sun-&-moon
2021-08-01 06:00:00,1330,5000,Umbreon_GX_#142,pokemon-sun-&-moon
2021-09-01 06:00:00,1035,6100,Umbreon_GX_#142,pokemon-sun-&-moon
2021-10-01 06:00:00,865,4999,Umbreon_GX_#142,pokemon-sun-&-moon
2021-11-01 06:00:00,875,4550,Umbreon_GX_#142,pokemon-sun-&-moon
2021-12-01 07:00:00,1000,4550,Umbreon_GX_#142,pokemon-sun-&-moon
2022-01-01 07:00:00,1097,4550,Umbreon_GX_#142,pokemon-sun-&-moon
2022-02-01 07:00:00,1450,3814,Umbreon_GX_#142,pokemon-sun-&-moon
2022-03-01 07:00:00,1223,3299,Umbreon_GX_#142,pokemon-sun-&-moon
2022-04-01 06:00:00,1399,3777,Umbreon_GX_#142,pokemon-sun-&-moon
2022-05-01 06:00:00,1076,4197,Umbreon_GX_#142,pokemon-sun-&-moon
2022-06-01 06:00:00,1050,3882,Umbreon_GX_#142,pokemon-sun-&-moon
2022-07-01 06:00:00,1283,3200,Umbreon_GX_#142,pokemon-sun-&-moon
2022-08-01 06:00:00,1197,2859,Umbreon_GX_#142,pokemon-sun-&-moon
2022-09-01 06:00:00,1164,2500,Umbreon_GX_#142,pokemon-sun-&-moon
2022-10-01 06:00:00,1375,3143,Umbreon_GX_#142,pokemon-sun-&-moon
2022-11-01 06:00:00,1625,3465,Umbreon_GX_#142,pokemon-sun-&-moon
2022-12-01 07:00:00,1288,3957,Umbreon_GX_#142,pokemon-sun-&-moon
2023-01-01 07:00:00,1382,3161,Umbreon_GX_#142,pokemon-sun-&-moon
2023-02-01 07:00:00,1095,3187,Umbreon_GX_#142,pokemon-sun-&-moon
2023-03-01 07:00:00,1244,2850,Umbreon_GX_#142,pokemon-sun-&-moon
2023-04-01 06:00:00,1307,2757,Umbreon_GX_#142,pokemon-sun-&-moon
2023-05-01 06:00:00,1322,2914,Umbreon_GX_#142,pokemon-sun-&-moon
2023-06-01 06:00:00,1450,2999,Umbreon_GX_#142,pokemon-sun-&-moon
2023-07-01 06:00:00,1342,2999,Umbreon_GX_#142,pokemon-sun-&-moon
2023-08-01 06:00:00,1588,2974,Umbreon_GX_#142,pokemon-sun-&-moon
2023-09-01 06:00:00,1400,2978,Umbreon_GX_#142,pokemon-sun-&-moon
2023-10-01 06:00:00,1090,2999,Umbreon_GX_#142,pokemon-sun-&-moon
2023-11-01 06:00:00,851,2593,Umbreon_GX_#142,pokemon-sun-&-moon
2023-12-01 07:00:00,1325,3272,Umbreon_GX_#142,pokemon-sun-&-moon
2024-01-01 07:00:00,1140,2981,Umbreon_GX_#142,pokemon-sun-&-moon
2024-02-01 07:00:00,1076,2866,Umbreon_GX_#142,pokemon-sun-&-moon
2024-03-01 07:00:00,1288,2669,Umbreon_GX_#142,pokemon-sun-&-moon
2024-04-01 06:00:00,1511,2800,Umbreon_GX_#142,pokemon-sun-&-moon
2024-05-01 06:00:00,1819,2986,Umbreon_GX_#142,pokemon-sun-&-moon
2024-06-01 06:00:00,1587,3131,Umbreon_GX_#142,pokemon-sun-&-moon
2024-07-01 06:00:00,1659,2904,Umbreon_GX_#142,pokemon-sun-&-moon
2024-08-01 06:00:00,1219,2675,Umbreon_GX_#142,pokemon-sun-&-moon
2024-09-01 06:00:00,1255,3004,Umbreon_GX_#142,pokemon-sun-&-moon
2024-10-01 06:00:00,1698,3000,Umbreon_GX_#142,pokemon-sun-&-moon
2024-11-01 06:00:00,1602,2897,Umbreon_GX_#142,pokemon-sun-&-moon
2024-12-01 07:00:00,1586,2695,Umbreon_GX_#142,pokemon-sun-&-moon
2025-01-01 07:00:00,2385,4495,Umbreon_GX_#142,pokemon-sun-&-moon
2025-02-01 07:00:00,2280,4461,Umbreon_GX_#142,pokemon-sun-&-moon
2025-03-01 07:00:00,2503,4925,Umbreon_GX_#142,pokemon-sun-&-moon
2025-04-01 06:00:00,4040,5738,Umbreon_GX_#142,pokemon-sun-&-moon
2025-05-01 06:00:00,3500,6197,Umbreon_GX_#142,pokemon-sun-&-moon
2025-06-01 06:00:00,4132,5500,Umbreon_GX_#142,pokemon-sun-&-moon
2025-07-01 06:00:00,3407,5250,Umbreon_GX_#142,pokemon-sun-&-moon
2025-08-01 06:00:00,3909,5350,Umbreon_GX_#142,pokemon-sun-&-moon
2025-09-01 06:00:00,3691,5900,Umbreon_GX_#142,pokemon-sun-&-moon
2025-10-01 06:00:00,3925,6900,Umbreon_GX_#142,pokemon-sun-&-moon
2025-11-01 06:00:00,4000,6787,Umbreon_GX_#142,pokemon-sun-&-moon
2021-01-01 07:00:00,3141,0,Lillie_#147,pokemon-sun-&-moon
2021-02-01 07:00:00,4000,0,Lillie_#147,pokemon-sun-&-moon
2021-03-01 07:00:00,4552,0,Lillie_#147,pokemon-sun-&-moon
2021-04-01 06:00:00,4000,12588,Lillie_#147,pokemon-sun-&-moon
2021-05-01 06:00:00,3499,10488,Lillie_#147,pokemon-sun-&-moon
2021-06-01 06:00:00,3200,9600,Lillie_#147,pokemon-sun-&-moon
2021-07-01 06:00:00,3075,12000,Lillie_#147,pokemon-sun-&-moon
2021-08-01 06:00:00,3200,11184,Lillie_#147,pokemon-sun-&-moon
2021-09-01 06:00:00,3000,10491,Lillie_#147,pokemon-sun-&-moon
2021-10-01 06:00:00,2475,9867,Lillie_#147,pokemon-sun-&-moon
2021-11-01 06:00:00,2275,10500,Lillie_#147,pokemon-sun-&-moon
2021-12-01 07:00:00,2055,10500,Lillie_#147,pokemon-sun-&-moon
2022-01-01 07:00:00,2360,8900,Lillie_#147,pokemon-sun-&-moon
2022-02-01 07:00:00,2236,8900,Lillie_#147,pokemon-sun-&-moon
2022-03-01 07:00:00,1793,7700,Lillie_#147,pokemon-sun-&-moon
